BHID,From,To,Cu %,Cu ppm,Ag ppm,As ppm,Au ppm,Ce ppm,Dy ppm,Er ppm,Eu ppm,Gd ppm,Hg ppm,Ho ppm,La ppm,Lu ppm,Nd ppm,Pb ppm,Pr ppm,Sc ppm,Sm ppm,Tb ppm,Tm ppm,Y ppm,Yb ppm,Zn ppm
BH2,7,8,0.03,328,ND,5.33,ND,ND,ND,ND,ND,ND,ND,ND,3.77,ND,ND,ND,ND,9.87,ND,ND,ND,6.56,1.32,14.61
BH2,8,9,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,9,10,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,10,11,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,11,12,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,12,13,0.02,195,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.4,ND,ND,ND,4.66,1.37,16.22
BH2,13,14,0.03,270,ND,18.68,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.26,ND,ND,ND,7.81,1.92,17.4
BH2,14,15,0.05,520,ND,12.75,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.8,ND,ND,ND,4.56,1.84,18.96
BH2,15,16,0.02,171,ND,8.08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.54,ND,ND,ND,6.37,1.4,16.05
BH2,16,17,0.07,716,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.25,ND,ND,ND,9.03,1.4,18.22
BH2,17,18,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,18,19,0.22,2177,ND,16.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,25.64,ND,ND,ND,5.49,2.7,32.65
BH2,19,20,0.05,472,ND,13.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,26.65,ND,ND,ND,12.71,3.18,23.21
BH2,20,21,0.01,75.06,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,29.5,ND,ND,ND,4.44,1.82,49.16
BH2,21,22,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,22,23,0.07,712,ND,7.33,ND,,,,,,ND,,,,,20.39,,,,,,,,18.77
BH2,23,24,0.01,113,ND,6.99,ND,,,,,,ND,,,,,21.15,,,,,,,,20.21
BH2,24,25,0.08,783,ND,7.48,ND,,,,,,ND,,,,,23.5,,,,,,,,15.72
BH2,25,26,0.02,192,ND,6.75,ND,,,,,,ND,,,,,12.45,,,,,,,,15
BH2,26,27,0.02,192,ND,6.75,ND,,,,,,ND,,,,,10.33,,,,,,,,8.1
BH2,27,28,0.02,226,ND,9.26,ND,,,,,,ND,,,,,21.33,,,,,,,,7.87
BH2,28,29,0.02,184,ND,8.73,ND,,,,,,ND,,,,,14.52,,,,,,,,11.62
BH2,29,30,0.06,613,ND,11.62,ND,,,,,,ND,,,,,20.7,,,,,,,,13.42
BH2,30,31,0.05,516,ND,10.93,ND,,,,,,ND,,,,,21.49,,,,,,,,21.31
BH2,31,32,0.07,729,ND,11.38,ND,,,,,,ND,,,,,21.79,,,,,,,,16.26
BH2,32,33,0.05,496.09,ND,ND,ND,,,,,,ND,,,,,12.56,,,,,,,,11.28
BH2,33,34,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,34,35,0,41.55,ND,ND,ND,,,,,,ND,,,,,7.9,,,,,,,,6.88
BH2,35,36,0.04,443.93,ND,ND,ND,,,,,,ND,,,,,6.65,,,,,,,,9.28
BH2,36,37,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,37,38,0.01,83.76,ND,ND,ND,,,,,,ND,,,,,6.08,,,,,,,,13.44
BH2,38,39,0.1,1003.84,ND,ND,ND,,,,,,ND,,,,,5.53,,,,,,,,9.01
BH2,39,40,0.09,919.73,ND,ND,ND,,,,,,ND,,,,,6.89,,,,,,,,8.9
BH2,40,41,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,41,42,0.01,68.04,ND,ND,ND,,,,,,ND,,,,,6.89,,,,,,,,10.45
BH2,42,43,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,43,44,0,18.59,ND,ND,ND,,,,,,ND,,,,,5.69,,,,,,,,9.74
BH2,44,45,0.01,109.28,ND,ND,ND,,,,,,ND,,,,,6.59,,,,,,,,7.83
BH2,45,46,0.02,194.66,ND,ND,ND,,,,,,ND,,,,,10.87,,,,,,,,10.77
BH2,46,47,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,47,48,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,48,49,0.11,1140.37,ND,ND,ND,,,,,,ND,,,,,3.8,,,,,,,,29.07
BH2,49,50,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,50,51,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,51,52,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,52,53,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,53,54,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,54,55,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,55,56,0.08,832.41,ND,ND,ND,,,,,,ND,,,,,4.83,,,,,,,,31.7
BH2,56,57,0.03,310.7,ND,ND,ND,,,,,,ND,,,,,ND,,,,,,,,11.77
BH2,57,58,0.01,134.06,ND,ND,ND,,,,,,ND,,,,,26.08,,,,,,,,11.75
BH2,58,59,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,59,60,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,60,61,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,61,62,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,62,63,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,63,64,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,64,65,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,65,66,0.06,629.41,ND,ND,ND,,,,,,ND,,,,,21.14,,,,,,,,32.53
BH2,66,67,0.01,58.2,ND,ND,ND,,,,,,ND,,,,,25.64,,,,,,,,11.09
BH2,67,68,0.01,84.71,ND,3.28,ND,,,,,,ND,,,,,18.54,,,,,,,,9.7
BH2,68,69,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,69,70,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,70,71,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,71,72,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,72,73,0.01,77.78,ND,4.29,ND,,,,,,ND,,,,,24.18,,,,,,,,8.58
BH2,73,74,0,32.38,ND,ND,ND,,,,,,ND,,,,,25.82,,,,,,,,7.12
BH2,74,75,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,75,76,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,76,77,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,77,78,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,78,79,0,5.35,ND,ND,ND,,,,,,ND,,,,,21.11,,,,,,,,7.98
BH2,79,80,0,5.17,ND,3.18,ND,,,,,,ND,,,,,27.13,,,,,,,,12.4
BH2,80,81,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,81,82,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,82,83,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,83,84,0.01,112.09,ND,ND,ND,,,,,,ND,,,,,21.29,,,,,,,,8.86
BH2,84,85,0,6.2,ND,3.57,ND,,,,,,ND,,,,,25.61,,,,,,,,16.91
BH2,85,86,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,86,87,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,87,88,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,88,89,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,89,90,0,9.92,ND,4.68,ND,,,,,,ND,,,,,22.33,,,,,,,,5.91
BH2,90,91,0,17.8,ND,6.09,ND,,,,,,ND,,,,,30.04,,,,,,,,23.38
BH2,91,92,0,1.71,ND,4.88,ND,,,,,,ND,,,,,27.55,,,,,,,,4.88
BH2,92,93,0,3,ND,6.24,ND,,,,,,ND,,,,,26.57,,,,,,,,6.35
BH2,93,94,0,2.58,ND,6.09,ND,,,,,,ND,,,,,31.77,,,,,,,,16.58
BH2,94,95,0,6.74,ND,5.64,ND,,,,,,ND,,,,,23.77,,,,,,,,6.87
BH2,95,96,0,12.67,ND,7.29,ND,,,,,,ND,,,,,33.8,,,,,,,,8.32
BH2,96,97,0,6.92,ND,8.1,ND,,,,,,ND,,,,,31.69,,,,,,,,7.46
BH2,97,98,0.01,78.39,ND,10.14,ND,,,,,,ND,,,,,46.92,,,,,,,,9.61
BH2,98,99,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,99,100,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,100,101,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,101,102,0,12.23,ND,7.04,ND,,,,,,ND,,,,,33.84,,,,,,,,5.67
BH2,102,103,0,20.34,ND,10.58,ND,,,,,,ND,,,,,56.96,,,,,,,,11.2
BH2,103,104,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,104,105,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,105,106,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,106,107,0.01,137.54,ND,9.58,ND,,,,,,ND,,,,,44.32,,,,,,,,11.22
BH2,107,108,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,108,109,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,109,110,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,110,111,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,111,112,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,112,113,0.03,310.86,ND,10.06,ND,,,,,,ND,,,,,42.52,,,,,,,,19.64
BH2,113,114,0,46.68,ND,7.41,ND,,,,,,ND,,,,,41.1,,,,,,,,7.77
BH2,114,115,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,115,116,0,35.01,ND,6.93,ND,,,,,,ND,,,,,40.68,,,,,,,,7.39
BH2,116,117,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,117,118,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,118,119,0,21.87,ND,6.08,ND,,,,,,ND,,,,,36.41,,,,,,,,7.58
BH2,119,120,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,120,121,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,121,122,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,122,123,0,6.45,ND,8.89,ND,,,,,,ND,,,,,60.43,,,,,,,,2.13
BH2,123,124,0,23.27,ND,7.37,ND,,,,,,ND,,,,,41.14,,,,,,,,6.03
BH2,124,125,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,125,126,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,126,127,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,127,128,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,128,129,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,129,130,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,130,131,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,131,132,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,132,133,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,133,134,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,134,135,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,135,136,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,136,137,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,137,138,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,138,139,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,139,140,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,140,141,0.09,892.7,ND,13.12,ND,,,,,,ND,,,,,28.39,,,,,,,,23.08
BH2,141,142,0.04,361.08,ND,5.41,ND,,,,,,ND,,,,,27.1,,,,,,,,13.96
BH2,142,143,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,143,144,0.03,250.7,ND,6.73,ND,,,,,,ND,,,,,42.46,,,,,,,,21.65
BH2,144,145,0.05,537,ND,10.85,ND,,,,,,ND,,,,,56.77,,,,,,,,19.98
BH2,145,146,0.01,67.81,ND,9.51,ND,,,,,,ND,,,,,49.01,,,,,,,,14.19
BH2,146,147,0.01,67.81,ND,9.51,ND,,,,,,ND,,,,,49.01,,,,,,,,14.19
BH2,147,148,0.02,203,ND,10.63,ND,,,,,,ND,,,,,51.45,,,,,,,,14.79
BH2,148,149,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,149,150,0.1,988,ND,10.18,ND,,,,,,ND,,,,,55.5,,,,,,,,15.92
BH2,150,151,0.07,650,ND,7.15,ND,,,,,,ND,,,,,43.04,,,,,,,,29.82
BH2,151,152,0.29,2854,ND,ND,ND,,,,,,ND,,,,,27.57,,,,,,,,16.55
BH2,152,153,0.36,3563,ND,ND,ND,,,,,,ND,,,,,29.29,,,,,,,,21.37
BH2,153,154,0.09,927,ND,ND,ND,,,,,,ND,,,,,29.86,,,,,,,,29
BH2,154,155,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,155,156,0.03,326,ND,ND,ND,,,,,,ND,,,,,28.1,,,,,,,,12.68
BH2,156,157,0.1,1046,ND,ND,ND,,,,,,ND,,,,,29.78,,,,,,,,24.36
BH2,157,158,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,158,159,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,159,160,0.01,88,ND,ND,ND,,,,,,ND,,,,,32.1,,,,,,,,23.2
BH2,160,161,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,161,162,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,162,163,0.07,741,ND,ND,ND,,,,,,ND,,,,,36.02,,,,,,,,25.86
BH2,163,164,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,164,165,0.06,640,ND,ND,ND,,,,,,ND,,,,,25.24,,,,,,,,25.04
BH2,165,166,0.03,296,ND,ND,ND,,,,,,ND,,,,,33.87,,,,,,,,57.28
BH2,166,167,0.03,288,ND,ND,ND,,,,,,ND,,,,,22.55,,,,,,,,22.63
BH2,167,168,0.07,707,ND,ND,ND,,,,,,ND,,,,,29.37,,,,,,,,133.11
BH2,168,169,0.05,510,ND,ND,ND,,,,,,ND,,,,,28.15,,,,,,,,55.2
BH2,169,170,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,170,171,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,171,172,0.08,785,ND,ND,ND,,,,,,ND,,,,,26.49,,,,,,,,126.56
BH2,172,173,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,173,174,0.02,201,ND,ND,ND,,,,,,ND,,,,,30.7,,,,,,,,15.36
BH2,174,175,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,175,176,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,176,177,0.02,172,ND,ND,ND,,,,,,ND,,,,,30.76,,,,,,,,19.04
BH2,177,178,0.02,166,ND,ND,ND,,,,,,ND,,,,,27.93,,,,,,,,14.63
BH2,178,179,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,179,180,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,180,181,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,181,182,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,182,183,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,183,184,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,184,185,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,185,186,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,186,187,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,187,188,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,188,189,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,189,190,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,190,191,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,191,192,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,192,193,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,193,194,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,194,195,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,195,196,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,1,2,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,3,4,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,4,5,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,5,6,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,6,7,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,7,8,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,8,9,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,9,10,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,10,11,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,11,12,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,12,13,0.56,5608,ND,,ND,ND,ND,ND,ND,ND,,ND,23.6,ND,ND,64.44,ND,4.18,ND,ND,ND,1.92,34,
BH3,13,14,0.05,483,ND,,ND,ND,ND,ND,ND,ND,,ND,23.6,ND,ND,64.44,ND,4.18,ND,ND,ND,3.07,34,
BH3,14,15,0.05,483,ND,,ND,ND,ND,ND,ND,ND,,ND,5.23,ND,ND,39.09,ND,12.13,ND,ND,ND,2.89,96.11,
BH3,15,16,0.02,155,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,27,ND,8.25,ND,ND,ND,3.04,74.73,
BH3,16,17,0.03,289,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,32.43,ND,5.41,ND,ND,ND,3.04,101,
BH3,17,18,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,18,19,0.32,3230,ND,,ND,ND,ND,ND,ND,ND,,ND,21.95,ND,ND,49.41,ND,2.13,ND,ND,ND,3.09,90.14,
BH3,19,20,0.32,3230,ND,,ND,ND,ND,ND,ND,ND,,ND,21.95,ND,ND,49.41,ND,2.13,ND,ND,ND,3.09,90.14,
BH3,20,21,0.07,740,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,34.74,ND,8.38,ND,ND,ND,3.22,51.6,
BH3,21,22,0.05,488,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,35.65,ND,18.93,ND,ND,ND,3.6,95,
BH3,22,23,0.16,1614,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,39.59,ND,21.46,ND,ND,ND,3.5,91.2,
BH3,23,24,0.24,2359,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,36.37,ND,31,ND,ND,ND,3.74,48.22,
BH3,24,25,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,25,26,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,26,27,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,27,28,0.02,196,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,36.43,ND,9.55,ND,ND,ND,2.25,23.82,
BH3,28,29,0.02,196,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,36.43,ND,9.55,ND,ND,ND,2.25,23.82,
BH3,29,30,0.13,1302,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,30.01,ND,7.03,ND,ND,ND,2.92,42.4,
BH3,30,31,0.13,1302,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,30.01,ND,7.03,ND,ND,ND,2.92,42.4,
BH3,31,32,0.01,140,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,28.05,ND,5.79,ND,ND,ND,1.13,39.03,
BH3,32,33,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,33,34,0.17,1683,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,51,ND,8.48,ND,ND,ND,3.49,2.83,
BH3,34,35,0.17,1683,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,51,ND,8.48,ND,ND,ND,3.49,2.83,
BH3,35,36,0.02,246,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,41,ND,10.87,ND,ND,ND,3.64,3.37,
BH3,36,37,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,37,38,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,38,39,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,39,40,0.06,624,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,47,ND,4.38,ND,ND,ND,1.94,18.28,
BH3,40,41,0.06,624,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,47,ND,4.38,ND,ND,ND,1.94,18.28,
BH3,41,42,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,42,43,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,43,44,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,44,45,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,45,46,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,46,47,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,47,48,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,48,49,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,49,50,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,50,51,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,51,52,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,52,53,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,53,54,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,54,55,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,55,56,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,56,57,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,57,58,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,58,59,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,59,60,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,60,61,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,61,62,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,62,63,0.88,8797,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,91,ND,,ND,ND,ND,3.2,3372,
BH3,63,64,0.88,8797,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,91,ND,,ND,ND,ND,3.2,3372,
BH3,64,65,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,65,66,0.95,9506,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,83,ND,0.8,ND,ND,ND,3.36,40.49,
BH3,66,67,0.95,9506,ND,,ND,ND,ND,ND,ND,ND,,ND,48.26,ND,ND,83,ND,0.8,ND,ND,ND,3.36,40.49,
BH3,67,68,0.67,6692,ND,,ND,ND,ND,ND,ND,ND,,ND,48.26,ND,ND,91.48,ND,5.71,ND,ND,ND,3.05,25.39,
BH3,68,69,0.53,5252,ND,,ND,ND,ND,ND,ND,ND,,ND,30.31,ND,ND,81.04,ND,5.46,ND,ND,ND,3.09,25.39,
BH3,69,70,0.6,6044,ND,,ND,ND,ND,ND,ND,ND,,ND,23.13,ND,ND,77.58,ND,2.51,ND,ND,ND,3.27,43.53,
BH3,70,71,1.2,11962,ND,,ND,ND,ND,ND,ND,ND,,ND,24.31,ND,ND,94.82,ND,6.48,ND,ND,ND,3.62,27.93,
BH3,71,72,0.62,6163,ND,,ND,ND,ND,ND,ND,ND,,ND,29.51,ND,ND,94.82,ND,0.55,ND,ND,ND,2.18,27.93,
BH3,72,73,0.66,6638,ND,,ND,ND,ND,ND,ND,ND,,ND,35.54,ND,ND,87.79,ND,9.21,ND,ND,ND,2.85,17.54,
BH3,73,74,0.19,1850,ND,,ND,ND,ND,ND,ND,ND,,ND,38.74,ND,ND,55.28,ND,9.21,ND,ND,ND,3.26,17.54,
BH3,74,75,0.02,184,ND,,ND,ND,ND,ND,ND,ND,,ND,6.06,ND,ND,56.57,ND,6.52,ND,ND,ND,2.92,29.46,
BH3,75,76,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,76,77,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,77,78,0,18.37,ND,,ND,ND,ND,ND,ND,ND,,ND,6.5,ND,ND,50.62,ND,7.49,ND,ND,ND,2.55,22.93,
BH3,78,79,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,79,80,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,80,81,0.02,150,ND,,ND,ND,ND,ND,ND,ND,,ND,5.85,ND,ND,60.28,ND,4.37,ND,ND,ND,2.58,23.53,
BH3,81,82,0,,,,,,,,,,,,,,,,,,,,,,,
BH3,82,83,0,34.16,ND,,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,43.66,ND,ND,ND,ND,ND,0.73,29.42,
